,,group,group_method,group_gamification,project,lines,ncloc,comment_lines,classes,complexity,violations,blocker_violations,major_violations,minor_violations,info_violations,vulnerabilities,bugs,code_smells,duplicated_blocks,duplicated_lines,duplicated_lines_density,sqale_rating,sqale_index,sqale_debt_ratio,effort_to_reach_maintainability_rating_a,tests,test_success_density,coverage,line_coverage,branch_coverage,overall_branch_coverage,conditions_to_cover,overall_conditions_to_cover,comment_density,smells_density,code_to_test
34,34,2016-2017,core,null,2016-2017-tds-e5:p3,641,427,115,3,102,29,0,20,9,0,0,0,29,0,0,0,1,160,1.2,0,300,100,99.4,99.4,99.4,99.4,156,156,0.212177121771218,0.0679156908665105,0.702576112412178
35,35,2016-2017,core,null,2016-2017-tds-e6:p3,586,359,99,3,93,37,1,13,23,0,0,1,36,0,0,0,1,174,1.6,0,116,100,95.5,98.5,92.3,92.3,130,130,0.216157205240175,0.100278551532033,0.323119777158774
36,36,2016-2017,core,null,2016-2017-tds-e7:p3,687,378,161,3,86,30,0,18,11,0,0,0,30,0,0,0,1,144,1.3,0,96,100,100,100,100,100,118,118,0.298701298701299,0.0793650793650794,0.253968253968254
37,37,2016-2017,core,null,2016-2017-tds-e8:p3,671,353,123,3,72,35,1,21,12,0,0,1,34,0,0,0,1,174,1.6,0,68,100,87.3,95.8,76.6,76.6,94,94,0.258403361344538,0.0963172804532578,0.192634560906516
38,38,2016-2017,core,null,2016-2017-tds-e9:p3,763,415,196,5,108,18,0,8,9,0,0,0,18,0,0,0,1,70,0.6,0,570,100,98.7,100,97.4,97.4,152,152,0.320785597381342,0.0433734939759036,1.37349397590361
39,39,2017-2018,sonarQube,null,2017-2018-tds-e1:p3,876,559,174,4,172,103,0,10,82,0,0,0,103,5,19,2.2,1,383,2.3,0,589,100,100,100,100,100,256,256,0.237380627557981,0.184257602862254,1.05366726296959
40,40,2017-2018,sonarQube,null,2017-2018-tds-e10:p3,876,559,174,4,172,103,0,10,82,0,0,0,103,5,19,2.2,1,383,2.3,0,589,100,100,100,100,100,256,256,0.237380627557981,0.184257602862254,1.05366726296959
41,41,2017-2018,sonarQube,null,2017-2018-tds-e11:p3,559,356,78,9,64,4,0,0,0,0,0,0,4,0,0,0,1,60,0.6,0,130,100,93.5,90.1,100,100,64,64,0.179723502304147,0.0112359550561798,0.365168539325843
42,42,2017-2018,sonarQube,null,2017-2018-tds-e2:p3,827,457,164,5,116,41,0,4,29,0,0,0,41,0,0,0,1,190,1.4,0,438,100,97.4,96.7,98.1,98.1,162,162,0.264090177133655,0.0897155361050328,0.958424507658643
43,43,2017-2018,sonarQube,null,2017-2018-tds-e3:p3,937,596,128,4,124,73,0,20,28,0,0,16,57,0,0,0,1,321,1.8,0,233,100,88.2,94.3,79.4,79.4,204,204,0.176795580110497,0.0956375838926175,0.390939597315436
44,44,2017-2018,sonarQube,null,2017-2018-tds-e4:p3,892,546,174,4,114,2,0,0,0,0,0,0,2,0,0,0,1,30,0.2,0,651,100,88.4,99.6,80.4,80.4,352,352,0.241666666666667,0.00366300366300366,1.19230769230769
45,45,2017-2018,sonarQube,null,2017-2018-tds-e5:p3,818,456,192,4,107,2,0,0,0,0,0,0,2,0,0,0,1,30,0.2,0,190,100,97.5,98.6,96.1,96.1,152,152,0.296296296296296,0.0043859649122807,0.416666666666667
46,46,2017-2018,sonarQube,null,2017-2018-tds-e7:p3,850,533,180,3,119,19,0,7,7,0,0,2,17,0,0,0,1,138,0.9,0,251,100,100,100,100,100,176,176,0.252454417952314,0.0318949343339587,0.470919324577861
47,47,2017-2018,sonarQube,null,2017-2018-tds-e8:p3,565,312,125,3,48,18,0,12,2,0,0,0,18,0,0,0,1,131,1.4,0,148,100,91.5,95.6,84,84,50,50,0.28604118993135,0.0576923076923077,0.474358974358974
48,48,2017-2018,sonarQube,null,2017-2018-tds-e9:p3,757,485,138,3,109,1,0,0,0,0,0,0,1,0,0,0,1,5,0,0,174,100,94.1,95.1,92.8,92.8,166,166,0.221508828250401,0.00206185567010309,0.358762886597938
